pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,wrate,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
152,543376,Caleb Joseph,152,100,0.211,0.053,0.286,0.263,0.228,0.265,0.241,8,38,83.3,22.3,2223,87.3,87.02,17,71,0.23943662,79,-0.3,6.08,111,152,117,147,306,321,289
150,643230,Steven Brault,150,100,0.333,0.095,0.394,0.429,0.335,0.283,0.271,14,42,76.7,2.1,2229,88.2,88.06,19,90,0.211111111,59,-0.1,6.06,114,149,102,149,279,307,291
150,608379,Michael Wacha,150,100,0.167,0.028,0.4,0.194,0.156,0.08,0.095,6,36,73.1,10.9,2368,90.8,90.78,17,48,0.354166667,101,0,6.03,113,150,108,148,295,308,276
142,592761,Caleb Smith,142,100,0.233,0.047,0.357,0.279,0.232,0.189,0.183,10,43,75.6,-4.8,2261,88.5,88.21,22,72,0.305555556,63,-0.3,6.08,109,148,105,144,291,301,266
141,641816,Tyler Mahle,141,100,0.088,0.029,0.2,0.118,0.105,0.09,0.067,3,34,71.6,-14,2311,89.4,89.51,25,65,0.384615385,71,0.1,6.2,107,143,103,144,289,301,269
139,621559,Max Moroff,139,100,0.125,0.125,0.2,0.25,0.187,0.218,0.177,4,32,78.7,30.8,2245,88.8,88.28,30,68,0.441176471,71,-0.5,5.98,111,150,116,144,285,312,294
136,642423,Magneuris Sierra,136,100,0.35,0.075,0.424,0.425,0.349,0.271,0.27,14,40,76.7,13.2,2163,88.6,88.43,8,75,0.106666667,56,-0.2,6.14,102,143,90,145,280,309,299
135,641154,Pablo Lopez,135,100,0.171,0.057,0.375,0.229,0.171,0.177,0.162,6,35,76.7,8.5,2310,88.1,87.63,40,72,0.555555556,52,-0.5,6.04,107,142,103,145,281,305,289
135,592826,Vince Velasquez,135,100,0.233,0.1,0.3,0.333,0.269,0.25,0.23,7,30,75.8,3.4,2286,89.2,89.03,17,65,0.261538462,65,-0.2,6.06,108,148,108,148,299,314,278
134,607333,Beau Taylor,134,100,0.16,0.24,0.125,0.4,0.307,0.404,0.268,4,25,82.8,7.3,2217,88.5,87.8,15,56,0.267857143,76,-0.7,5.8,120,154,116,151,290,321,303
133,670950,Trevor Richards,133,100,0.1,0,0.25,0.1,0.125,0.107,0.076,3,30,74.6,4.1,2324,89.9,89.63,23,53,0.433962264,77,-0.3,6.14,110,146,107,147,291,298,267
132,623180,Seth Mejias-Brean,132,100,0.233,0.267,0.263,0.5,0.338,0.294,0.221,7,30,83,6.4,2305,88.1,87.89,19,58,0.327586207,74,-0.2,6.05,108,152,114,148,305,324,292
131,444432,Mark Trumbo,131,100,0.172,0.103,0.208,0.276,0.22,0.327,0.278,5,29,83.6,12.9,2261,87.6,87.19,20,67,0.298507463,64,-0.4,5.95,108,152,122,147,299,325,297
129,506703,Adrian Sanchez,129,100,0.226,0,0.333,0.226,0.213,0.194,0.184,7,31,81.5,7.3,2301,90.3,90.04,18,64,0.28125,65,-0.3,6.07,106,150,112,145,299,314,288
128,592314,Mike Foltynewicz,128,100,0.057,0,0.125,0.057,0.05,0.099,0.116,2,35,73.1,-2.2,2300,90.4,90.13,27,65,0.415384615,57,-0.3,6.03,112,148,107,148,290,301,267
127,596117,Garrett Stubbs,127,100,0.2,0.086,0.25,0.286,0.256,0.271,0.232,7,35,81.6,17.4,2189,88.1,87.47,17,76,0.223684211,51,-0.6,5.9,115,147,111,149,282,320,295
126,592863,Mason Williams,126,100,0.267,0.033,0.32,0.3,0.277,0.343,0.31,8,30,82.3,20.3,2298,90.2,90.23,13,61,0.213114754,65,0,6.22,112,148,109,150,289,323,302
125,663567,Peter Lambert,125,100,0.321,0,0.5,0.321,0.321,0.257,0.223,9,28,69.9,3.5,2309,88.7,88.75,17,54,0.314814815,68,0.1,6.01,115,150,111,150,301,311,280
124,546990,Anthony Alford,124,100,0.179,0.107,0.25,0.286,0.23,0.206,0.14,5,28,82.5,21.2,2262,88.5,87.91,23,56,0.410714286,67,-0.6,5.98,105,153,115,143,306,327,290
124,642736,Domingo Leyba,124,100,0.28,0.16,0.412,0.44,0.343,0.29,0.235,7,25,83.1,18.9,2308,89.4,88.99,19,64,0.296875,60,-0.4,6.01,119,152,110,153,286,322,301
119,625510,Erick Mejia,119,100,0.227,0.045,0.313,0.273,0.278,0.235,0.164,5,22,77.1,13,2236,89.7,89.59,17,59,0.288135593,60,-0.1,6.05,101,144,103,144,295,323,299
118,621550,Patrick Wisdom,118,100,0.154,0.038,0.364,0.192,0.169,0.182,0.147,4,26,84.3,19.8,2331,87,86.35,18,62,0.290322581,56,-0.6,5.8,107,152,122,147,300,321,297
116,468504,Jhoulys Chacin,116,100,0.125,0.125,0.154,0.25,0.177,0.142,0.112,3,24,81.9,17.2,2370,88.4,87.77,12,45,0.266666667,68,-0.6,5.9,111,146,109,145,291,308,276
116,607536,Kyle Freeland,116,100,0.087,0,0.25,0.087,0.147,0.173,0.117,2,23,64.6,-1.8,2239,89.4,89,18,44,0.409090909,67,-0.4,5.84,110,145,96,148,284,310,298
116,543699,Tanner Roark,116,100,0.152,0.121,0.211,0.273,0.177,0.202,0.19,5,33,77.9,13.4,2252,88.5,88.38,22,63,0.349206349,48,-0.1,6.13,111,148,109,147,294,303,270
115,534606,Ryan LaMarre,115,100,0.217,0.261,0.188,0.478,0.334,0.394,0.282,5,23,81.9,10.9,2200,88.1,87.84,8,43,0.186046512,72,-0.3,6,104,149,119,144,302,322,289
114,595222,Mike Gerber,114,100,0.042,0.042,0.111,0.083,0.101,0.157,0.107,1,24,84.8,12.1,2255,89.3,88.64,36,62,0.580645161,52,-0.7,5.77,117,149,112,147,284,319,296
114,622065,Alex Young,114,100,0.04,0,0.143,0.04,0.035,0.037,0.038,1,25,66.9,-3.1,2253,90.2,89.6,19,38,0.5,75,-0.6,5.85,121,152,109,150,269,300,290
112,601713,Nick Pivetta,112,100,0.08,0,0.333,0.08,0.094,0.063,0.045,2,25,73.8,-2.8,2222,88.2,87.95,26,41,0.634146341,71,-0.3,6.1,120,152,113,150,292,300,270
111,623205,Andrew Velazquez,111,100,0.087,0.087,0.2,0.174,0.132,0.15,0.12,2,23,78.6,26.9,2171,89.2,88.84,23,60,0.383333333,50,-0.4,6.01,114,151,113,149,283,312,294
111,615698,Cal Quantrill,111,100,0.08,0,0.105,0.08,0.094,0.123,0.106,2,25,64.7,-14.8,2340,88,87.5,7,46,0.152173913,51,-0.5,5.93,106,142,97,146,268,299,290
110,606956,Ryan Court,110,100,0.208,0.167,0.333,0.375,0.262,0.282,0.246,5,24,77.9,15.7,2317,88.7,88.35,17,47,0.361702128,63,-0.3,6.01,111,151,114,147,292,317,290
107,641312,Shaun Anderson,107,100,0.08,0.04,0.333,0.12,0.109,0.109,0.063,2,25,72.3,14,2306,88.5,88.25,24,57,0.421052632,47,-0.2,5.96,116,150,110,149,294,306,277
107,605288,Adrian Houser,107,100,0.045,0.045,0.2,0.091,0.109,0.128,0.076,1,22,72,-2.5,2398,87.6,87.61,26,47,0.553191489,56,0,6.14,113,147,105,148,290,306,273
105,614173,Franchy Cordero,105,100,0.333,0.067,0.556,0.4,0.375,0.343,0.239,5,15,79.9,19.3,2193,89,88.76,17,45,0.377777778,60,-0.2,6.09,117,150,117,151,297,327,303
105,543484,Mikie Mahtook,105,100,0,0,0,0,0.055,0.197,0.103,0,23,82.4,35.8,2301,90,89.3,14,38,0.368421053,67,-0.7,5.88,111,152,116,147,307,322,279
102,542436,Cristhian Adames,102,100,0.318,0.045,0.5,0.364,0.328,0.281,0.259,7,22,82.3,10.8,2252,87.3,86.44,18,53,0.339622642,49,-0.9,5.72,107,150,112,149,282,318,297
102,461829,Gio Gonzalez,102,100,0.04,0,0.125,0.04,0.06,0.074,0.051,1,25,69.7,5.2,2291,88.4,88.17,29,49,0.591836735,51,-0.2,6.07,109,148,108,148,288,303,271
101,434658,Rajai Davis,101,100,0.2,0.2,0.211,0.4,0.266,0.292,0.27,5,25,80.4,23.4,2293,88.3,87.84,16,60,0.266666667,41,-0.5,6.03,104,149,106,144,299,317,288
99,592346,Chi Chi Gonzalez,99,100,0.042,0,0.111,0.042,0.036,0.058,0.062,1,24,79.8,5.8,2258,89.6,89.94,20,50,0.4,47,0.3,6.27,113,147,108,147,287,299,265
99,621381,Matt Strahm,99,100,0.286,0.095,0.667,0.381,0.32,0.281,0.248,6,21,75.6,-0.9,2251,89.1,88.54,14,38,0.368421053,52,-0.6,5.95,111,146,104,144,291,303,275
98,668227,Randy Arozarena,98,100,0.3,0.2,0.333,0.5,0.384,0.348,0.265,6,20,83.9,12.2,2296,87.4,87.03,11,44,0.25,52,-0.4,5.95,104,144,105,139,303,321,294
97,657141,Jordan Yamamoto,97,100,0.048,0,0.083,0.048,0.071,0.134,0.116,1,21,71.1,-11.2,2291,90.3,90.15,9,39,0.230769231,54,-0.1,6.13,110,147,104,146,291,298,265
95,592332,Kevin Gausman,95,100,0.037,0,0.111,0.037,0.032,0.061,0.058,1,27,73.1,-15.2,2270,90,89.72,12,33,0.363636364,55,-0.3,6.03,110,143,101,146,267,302,292
95,592230,Kaleb Cowart,95,100,0.16,0.12,0.222,0.28,0.203,0.208,0.197,4,25,77.2,28.7,2323,88.4,87.81,13,49,0.265306122,46,-0.6,5.97,113,158,120,149,297,322,294
94,605446,Dereck Rodriguez,94,100,0.172,0,0.417,0.172,0.151,0.117,0.122,5,29,82.5,17.3,2319,87.2,86.83,21,55,0.381818182,37,-0.4,6.02,114,149,109,147,291,305,277
91,475247,Ryan Flaherty,91,100,0.143,0.095,0.214,0.238,0.159,0.274,0.262,3,21,82.3,10.4,2245,88.7,88.55,12,43,0.279069767,47,-0.2,6.05,118,147,110,148,277,315,301
91,664199,Taylor Clarke,91,100,0.25,0.125,0.385,0.375,0.265,0.17,0.173,6,24,77.7,14.5,2273,89,88.52,13,42,0.30952381,46,-0.5,5.91,110,148,106,147,294,307,272
90,622694,Elieser Hernandez,90,100,0.053,0,0.111,0.053,0.078,0.085,0.054,1,19,70.5,-4.8,2261,89.3,88.88,15,45,0.333333333,36,-0.4,5.99,108,143,101,144,284,293,260
89,517369,Jose Pirela,89,100,0.182,0.182,0.214,0.364,0.265,0.272,0.183,4,22,80.5,19.2,2267,89.1,88.56,15,43,0.348837209,46,-0.5,6.01,110,151,115,148,302,320,292
88,543089,Taylor Davis,88,100,0.167,0.167,0.154,0.333,0.256,0.335,0.264,3,18,82.9,18.7,2204,88.8,88.34,13,43,0.302325581,45,-0.5,5.95,113,152,119,148,299,328,291
88,571679,David Freitas,88,100,0.067,0,0.091,0.067,0.182,0.283,0.147,1,15,81.4,7.7,2437,88,87.86,10,35,0.285714286,53,-0.1,6.14,109,152,118,149,304,320,288
88,545333,Trevor Bauer,88,100,0.158,0,0.429,0.158,0.191,0.15,0.09,3,19,80.5,-0.8,2344,89.7,89.55,14,29,0.482758621,58,-0.1,6.06,113,147,110,145,283,294,264
87,608671,Travis Jankowski,87,100,0.182,0,0.222,0.182,0.203,0.216,0.185,4,22,76.7,8.9,2274,89.6,89.61,5,34,0.147058824,51,0,6.26,108,147,94,145,281,311,300
87,425784,Rene Rivera,87,100,0.235,0.176,0.25,0.412,0.334,0.279,0.221,4,17,84.9,9.7,2312,86.1,85.79,8,37,0.216216216,50,-0.3,6.02,109,153,119,147,306,321,293
85,622046,Chris Shaw,85,100,0.056,0,0.1,0.056,0.113,0.19,0.132,1,18,87,13.3,2409,88.8,88.11,23,47,0.489361702,38,-0.7,5.77,117,159,119,152,290,324,306
85,622268,Donnie Walton,85,100,0.188,0,0.273,0.188,0.247,0.24,0.161,3,16,77.6,16.6,2295,89.1,88.48,16,46,0.347826087,39,-0.6,5.89,118,147,110,151,284,305,296
85,543022,Tyler Chatwood,85,100,0.167,0.111,0.25,0.278,0.212,0.187,0.158,3,18,79.3,11.3,2249,88.8,88.77,16,47,0.340425532,36,0,6.15,111,146,110,147,289,307,275
84,643327,Zack Godley,84,100,0.158,0,0.333,0.158,0.213,0.187,0.111,3,19,75.7,20.2,2307,88.5,88.07,19,36,0.527777778,45,-0.4,5.98,112,148,110,149,294,309,273
84,642221,Kean Wong,84,100,0.167,0,0.25,0.167,0.146,0.183,0.204,3,18,79.3,16,2309,89.5,88.81,10,39,0.256410256,44,-0.7,5.93,111,148,101,152,285,317,299
