pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,wrate,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
43,669160,Dustin May,43,100,0.091,0,0.143,0.091,0.08,0.071,0.07,1,11,77.6,-0.1,2301,89.9,89.66,6,22,0.272727273,21,-0.2,6.13,117,151,115,151,292,300,269
43,621438,Tyrone Taylor,43,100,0.4,0.2,0.444,0.6,0.469,0.31,0.257,4,10,74.7,-8.3,2432,88.7,88.54,2,16,0.125,26,-0.2,5.88,109,147,115,142,311,336,304
43,600466,Raudy Read,43,100,0.091,0,0.167,0.091,0.08,0.142,0.142,1,11,74.4,13.3,2216,88.3,87.64,14,23,0.608695652,20,-0.7,5.9,107,150,117,146,302,322,297
42,657053,Touki Toussaint,42,100,0,0,0,0,0,0.141,0.08,0,9,71.5,24.8,2172,91.3,90.82,8,18,0.444444444,23,-0.5,5.96,113,147,113,149,294,309,267
42,621450,Skye Bolt,42,100,0.1,0.1,0.143,0.2,0.175,0.318,0.243,1,10,81.4,20,2152,86.9,86.03,5,17,0.294117647,25,-0.9,5.75,116,151,106,150,296,317,305
41,656713,Brendan McKay,41,100,0.2,0.3,0.143,0.5,0.323,0.379,0.257,2,10,85.6,-8.1,2075,88.3,87.72,3,16,0.1875,25,-0.6,6.03,117,152,123,151,291,321,305
39,656605,Mitch Keller,39,100,0,0,0,0,0,0.068,0.082,0,10,74.8,-17.8,2269,88.9,88.59,2,12,0.166666667,25,-0.3,5.9,102,140,99,143,286,296,255
39,622072,Alex Wood,39,100,0.222,0,0.5,0.222,0.194,0.167,0.167,2,9,63.3,-14.7,2195,89.1,89,1,13,0.076923077,22,-0.1,6.04,107,144,106,147,289,300,263
38,656577,Alex Jackson,38,100,0,0,0,0,0.051,0.153,0.109,0,13,77.6,27.1,2245,91.8,91.86,10,22,0.454545455,15,0.1,6.23,110,148,115,140,297,316,297
36,657277,Logan Webb,36,100,0.111,0,0.143,0.111,0.157,0.223,0.187,1,9,71.1,-2.7,2169,88.9,88.66,3,18,0.166666667,16,-0.2,6.03,104,147,109,148,288,304,263
36,476704,Jed Lowrie,36,100,0,0,0,0,0.086,0.16,0.086,0,7,82,13.7,2250,90.4,89.71,6,15,0.4,21,-0.7,5.85,108,152,123,150,288,321,298
36,656725,Alex McRae,36,100,0.333,0,0.667,0.333,0.291,0.193,0.2,2,6,75.9,-6.3,2239,90.6,90.63,2,14,0.142857143,18,0,6.1,102,141,95,143,292,299,262
36,592791,Jameson Taillon,36,100,0.25,0,0.4,0.25,0.219,0.142,0.124,2,8,68.8,-17.2,2303,88.8,88.1,6,17,0.352941176,18,-0.7,5.94,112,141,105,141,286,297,261
36,605439,Michael Reed,36,100,0,0,0,0,0,0.016,0.018,0,8,71.1,47.5,2232,85.5,85,11,19,0.578947368,17,-0.5,5.86,109,150,112,143,298,307,288
35,501985,Mike Minor,35,100,0,0,0,0,0,0.102,0.109,0,9,78,1.7,2289,86.6,86.58,6,14,0.428571429,21,0,6.2,112,151,108,148,295,303,273
35,669060,Bryse Wilson,35,100,0.222,0,0.667,0.222,0.194,0.087,0.1,2,9,81.8,17.9,2378,91.7,91.96,5,12,0.416666667,21,0.3,6.33,104,147,109,150,291,299,259
35,608344,Cole Irvin,35,100,0.167,0,0.25,0.167,0.282,0.246,0.106,1,6,79.7,17.2,2178,91.4,91.3,4,16,0.25,19,-0.1,6.14,115,148,111,150,277,307,293
34,621219,Alec Mills,34,100,0.083,0,0.167,0.083,0.073,0.075,0.084,1,12,79.6,1.8,2335,91.6,91.64,10,16,0.625,18,0,6.22,125,154,112,150,287,304,270
34,641924,Jacob Nottingham,34,100,0.333,0.5,0.333,0.833,0.513,0.246,0.145,2,6,84.3,31.5,2343,90.4,89.72,4,13,0.307692308,20,-0.7,5.7,111,148,118,146,304,325,291
34,542881,Tyler Anderson,34,100,0.143,0,0.333,0.143,0.125,0.151,0.169,1,7,55.8,4.3,2195,90,90.06,4,12,0.333333333,20,0.1,6.12,97,139,89,146,272,306,289
34,593334,Domingo German,34,100,0,0,0,0,0,0.017,0.018,0,8,52.8,17.9,2287,85.3,85.19,3,6,0.5,25,-0.1,6.1,91,136,90,140,274,294,245
33,656794,Sean Newcomb,33,100,0,0,0,0,0,0.008,0.006,0,8,79.4,27.9,2202,88,87.34,6,16,0.375,17,-0.7,5.73,121,156,110,153,278,314,292
33,641541,Jon Duplantier,33,100,0.125,0,0.333,0.125,0.109,0.055,0.061,1,8,83,-26.1,2343,92.5,92.25,8,15,0.533333333,13,-0.3,6.16,111,142,96,148,274,306,291
33,592468,Nick Kingham,33,100,0,0,0,0,0.173,0.183,0.013,0,6,75.3,-8.2,2123,91.7,90.95,4,11,0.363636364,22,-0.7,5.8,112,150,116,148,289,304,262
33,667498,Robert Dugger,33,100,0,0,0,0,0,0.104,0.103,0,11,85.3,12.3,2334,86.9,86.88,11,21,0.523809524,12,0,6.27,117,149,114,145,287,300,276
33,543532,Tim Melville,33,100,0.25,0,0.4,0.25,0.219,0.159,0.176,2,8,71.5,-11.9,2430,88.5,88.08,4,16,0.25,14,-0.4,5.76,111,149,108,149,292,305,271
32,641745,Brad Keller,32,100,0.125,0,0.333,0.125,0.174,0.179,0.129,1,8,71.9,-4.1,2277,88.6,88.29,2,12,0.166666667,17,-0.3,5.93,110,148,109,148,290,304,275
32,605513,Spencer Turnbull,32,100,0,0,0,0,0,0,0,0,8,74.9,26.8,2302,92,92.32,11,17,0.647058824,15,0.3,6.3,114,143,105,144,288,306,268
32,608371,Lucas Sims,32,100,0.125,0,0.333,0.125,0.109,0.041,0.043,1,8,80.7,-3.4,2199,88.3,88.06,8,15,0.533333333,17,-0.2,6.02,116,150,116,148,292,303,266
32,593958,Eduardo Rodriguez,32,100,0,0,0,0,0,0.059,0.068,0,7,70.6,-36.7,2235,89.3,89.36,7,16,0.4375,14,0.1,6.31,106,144,101,145,272,302,288
32,623214,Abiatal Avelino,32,100,0.286,0,0.5,0.286,0.305,0.222,0.175,2,7,82.9,-3.4,2004,86.4,86.28,5,12,0.416666667,19,-0.1,6.05,106,151,100,151,298,322,285
31,514913,Ruben Tejada,31,100,0,0,0,0,0,0.084,0.092,0,9,77.1,17,2187,87.3,87.14,3,14,0.214285714,17,-0.2,6.06,114,155,113,146,305,320,290
31,621141,Walker Lockett,31,100,0.167,0,0.5,0.167,0.224,0.265,0.182,1,6,84.1,19.5,2414,90.6,90.15,6,13,0.461538462,18,-0.5,5.92,111,149,108,150,292,315,275
30,669203,Corbin Burnes,30,100,0.286,0,0.4,0.286,0.25,0.23,0.255,2,7,80.1,-5.6,2224,89.8,89.58,3,16,0.1875,14,-0.2,6.15,99,145,105,147,289,299,269
30,572020,James Paxton,30,100,0,0,null,0,0,0,0,0,5,51.9,-28,2348,87.9,88.03,9,14,0.642857143,13,0.1,6.38,107,143,96,142,252,294,285
30,400085,Ichiro Suzuki,30,100,0,0,0,0,0.115,0.124,0.016,0,5,79.5,23.5,null,null,null,2,14,0.142857143,16,null,null,null,null,null,null,null,null,null
30,518452,Chad Bettis,30,100,0,0,0,0,0.197,0.22,0.032,0,5,63.7,-10.5,2363,89.6,89.33,2,12,0.166666667,18,-0.3,5.89,117,149,107,149,288,307,263
29,620453,Deivy Grullon,29,100,0.111,0.111,0.143,0.222,0.137,0.183,0.181,1,9,93.7,22.9,2254,87.8,87.23,8,20,0.4,9,-0.6,5.89,104,149,117,146,299,322,289
29,596057,Daniel Norris,29,100,0.167,0,0.333,0.167,0.146,0.175,0.194,1,6,88.5,7.8,2441,90.9,90.19,4,13,0.307692308,16,-0.7,5.65,121,152,116,152,280,313,281
29,542882,Matt Andriese,29,100,0,0,0,0,0,0.057,0.069,0,6,79.5,-32.8,2271,92,91.97,3,8,0.375,20,0,6.14,116,150,109,149,287,305,268
28,518568,Christian Colon,28,100,0.5,0,0.5,0.5,0.507,0.257,0.103,3,6,81.6,-8.5,2306,89.5,88.92,3,14,0.214285714,12,-0.6,5.97,112,147,117,145,299,310,286
27,606131,Luis Perdomo,27,100,0.143,0,0.2,0.143,0.125,0.125,0.132,1,7,82.3,3.6,2273,89.2,88.76,4,16,0.25,11,-0.4,5.96,106,149,112,148,288,302,272
27,608723,Austin Voth,27,100,0.111,0,0.167,0.111,0.097,0.192,0.197,1,9,71.5,12.2,2155,89.7,89.67,5,15,0.333333333,12,0,6.12,105,149,111,149,288,298,267
27,543037,Gerrit Cole,27,100,0,0,0,0,0,0.011,0.007,0,7,75.1,-11.1,2218,90.6,91.3,3,9,0.333333333,16,0.7,6.53,112,147,106,145,301,299,270
27,622786,Jesus Tinoco,27,100,0.2,0,1,0.2,0.175,0.045,0.051,1,5,77.5,1.6,2247,90.4,90.77,5,17,0.294117647,10,0.4,6.18,111,148,110,150,299,309,277
26,624641,Edmundo Sosa,26,100,0.25,0,0.333,0.25,0.316,0.377,0.315,2,8,80.3,2.8,2335,90,89.35,3,14,0.214285714,11,-0.6,5.87,107,152,112,149,307,326,294
26,664353,Jose Urquidy,26,100,0,0,0,0,0,0.052,0.055,0,4,74.5,12.1,2196,92.4,92.69,1,8,0.125,18,0.3,6.11,127,151,108,149,297,299,273
25,630111,Yasmany Tomas,25,100,0,0,0,0,0,0.063,0.088,0,5,78.9,31.6,2196,88.3,87.28,8,18,0.444444444,7,-1,5.64,101,153,122,147,302,333,283
25,519008,T.J. McFarland,25,100,0,0,null,0,0,0,0,0,3,63.3,-31.7,2308,90.6,90.2,5,10,0.5,14,-0.4,5.91,98,145,99,147,269,304,289
25,571863,Matt Koch,25,100,0,0,0,0,0,0.011,0.01,0,6,86,28.3,2226,84.5,84.54,5,8,0.625,17,0,6.15,124,152,115,153,271,305,281
25,489119,Wade Miley,25,100,0,0,0,0,0.138,0.175,0.062,0,4,78.7,-5.9,2154,91.8,91.45,2,9,0.222222222,14,-0.3,5.79,115,145,104,146,275,308,288
24,592685,Drew Robinson,24,100,0.143,0,0.25,0.143,0.125,0.11,0.121,1,7,72.8,36.6,2149,88.1,88.24,8,15,0.533333333,9,0.1,6.26,115,158,112,159,295,316,299
23,474463,Brett Anderson,23,100,0.5,0,0.667,0.5,0.438,0.264,0.281,4,8,79.1,-9.6,2306,90,89.66,4,10,0.4,13,-0.3,5.98,118,151,112,150,261,297,296
23,594835,Marco Gonzales,23,100,0.2,0.2,1,0.4,0.247,0.177,0.185,1,5,67.5,7.2,2317,90.4,90.29,1,6,0.166666667,16,-0.1,6.15,112,148,111,149,279,307,284
22,624419,Nick Ciuffo,22,100,0.167,0,0.333,0.167,0.146,0.148,0.158,1,6,71.4,27.6,2316,87.7,86.86,5,10,0.5,12,-0.8,5.85,104,147,102,153,289,332,305
22,467100,Ivan Nova,22,100,0,0,0,0,0,0.115,0.13,0,5,64,22.2,2187,84.9,84.29,7,12,0.583333333,10,-0.6,5.82,121,154,109,152,294,305,268
21,621244,Jose Berrios,21,100,0,0,null,0,0.138,0.138,null,0,4,74,0,2348,88.5,87.72,4,7,0.571428571,14,-0.8,5.88,111,151,109,149,295,307,275
21,669456,Shane Bieber,21,100,0,0,0,0,0,0.032,0.034,0,5,70.9,-5.5,2165,91.8,92.05,2,7,0.285714286,14,0.2,6.32,111,153,115,147,281,291,265
20,612672,Wei-Yin Chen,20,100,0,0,0,0,0,0.054,0.056,0,5,63.3,35.3,2136,87.4,87.5,5,9,0.555555556,11,0.1,6.3,109,152,118,150,297,300,270
20,657566,Montana DuRapau,20,100,0.25,0,0.5,0.25,0.219,0.068,0.071,1,4,79.7,-7.4,2368,90.5,90.81,2,8,0.25,12,0.3,6.31,122,151,117,147,275,280,260
20,519144,Rick Porcello,20,100,0,0,0,0,0,0.023,0.028,0,6,74.7,-4.1,2199,83.4,82.96,6,11,0.545454545,9,-0.4,5.82,113,149,111,151,292,306,272
20,518633,Danny Duffy,20,100,0.25,0,0.5,0.25,0.219,0.063,0.067,1,4,71,-27.1,2299,87.7,86,2,8,0.25,12,-1.7,5.29,108,152,111,152,284,309,285
19,458708,Josh Tomlin,19,100,0,0,0,0,0,0.112,0.126,0,6,80.4,29.5,2283,87.4,87.16,4,9,0.444444444,10,-0.2,5.95,120,153,112,150,289,303,266
19,657140,Kyle Wright,19,100,0,0,0,0,0,0.031,0.032,0,6,56.1,-21,2302,91.2,90.92,1,5,0.2,14,-0.3,6.1,104,143,105,146,290,292,261
19,543557,Mike Montgomery,19,100,0.167,0,0.333,0.167,0.146,0.148,0.155,1,6,80.3,39.9,2213,92.3,91.76,4,12,0.333333333,7,-0.5,5.86,115,151,112,150,283,306,291
19,451192,Jim Adduci,19,100,0,0,0,0,0,0.083,0.077,0,5,77.8,-7.4,2493,92.4,91.68,6,12,0.5,7,-0.7,6,113,146,116,151,280,310,310
18,621086,James Marvel,18,100,0,0,0,0,0,0.075,0.078,0,4,76.3,10.8,2142,89.9,89.79,2,5,0.4,13,-0.1,6.13,124,152,108,150,295,295,261
18,624133,Ranger Suarez,18,100,0.25,0,0.5,0.25,0.219,0.034,0.043,1,4,68.6,-19.5,2368,89.6,88.54,2,8,0.25,9,-1.1,5.69,113,148,108,150,264,306,276
18,608717,Chris Stratton,18,100,0,0,0,0,0,0.026,0.038,0,4,79.8,9.6,2056,87.2,86.73,0,4,0,14,-0.5,5.89,116,150,112,151,286,308,276
18,605280,Clay Holmes,18,100,0,0,0,0,0,0.013,0.015,0,5,82.9,-20.7,2212,90.8,90.8,2,3,0.666666667,13,0,6.2,110,143,106,145,288,300,265
17,664059,Sam Haggerty,17,100,0,0,0,0,0,0.006,0.005,0,4,72.7,28.3,2378,89.2,89.52,3,8,0.375,9,0.3,6.47,121,152,137,154,287,316,301
17,623515,Drew Jackson,17,100,0,0,0,0,0.173,0.213,0.062,0,3,75.4,-30.7,2105,93.6,92.82,5,7,0.714285714,10,-0.8,5.95,101,153,108,146,306,312,275
17,571918,Deven Marrero,17,100,0,0,0,0,0,0.19,0.204,0,5,80.1,-26,2593,83.5,82.09,5,9,0.555555556,8,-1.4,5.35,113,157,110,146,311,319,296
17,446868,Wilkin Castillo,17,100,0.143,0.143,0.25,0.286,0.176,0.071,0.058,1,7,89.5,33.7,2204,91,90.6,4,12,0.333333333,5,-0.4,6.08,122,152,105,154,290,313,296
17,456501,Johnny Cueto,17,100,0,0,0,0,0,0.003,0.003,0,4,72.9,13.9,2405,91.2,91.1,1,4,0.25,11,-0.1,5.99,121,153,115,152,290,305,273
17,502043,Kyle Gibson,17,100,0,0,null,0,0.345,0.345,0,0,1,41,-39,2243,88.1,88.07,1,3,0.333333333,13,0,6.32,85,119,91,127,289,286,262
17,429719,Edwin Jackson,17,100,0,0,0,0,0,0.164,0.189,0,3,76.2,22.3,2480,89.6,89.12,3,10,0.3,7,-0.5,5.74,106,148,107,146,303,317,283
16,650893,Genesis Cabrera,16,100,0,0,null,0,0,0,null,0,4,71.4,-16,2186,90.5,89.78,6,6,1,8,-0.7,5.96,118,144,99,144,279,305,289
16,605135,Chris Bassitt,16,100,0,0,0,0,0,0.186,0.201,0,4,67.8,-3.2,2162,87.3,87.53,3,7,0.428571429,9,0.2,6.3,111,143,102,148,285,301,273
16,640470,Adbert Alzolay,16,100,0,0,0,0,0,0.092,0.102,0,5,83.6,-6.4,2202,90.5,90.7,4,9,0.444444444,6,0.2,6.22,119,152,118,151,295,307,276
16,625643,Reynaldo Lopez,16,100,0,0,0,0,0,0.003,0.003,0,4,79.5,0,2069,89.2,89.08,2,5,0.4,9,-0.1,6.05,100,137,91,140,282,294,265
16,622075,Yency Almonte,16,100,0,0,0,0,0,0.13,0.118,0,5,83.4,25,2350,89.1,89.74,4,9,0.444444444,7,0.6,6.13,114,151,119,150,300,321,284
16,608337,Lucas Giolito,16,100,0.25,0,1,0.25,0.219,0.195,0.213,1,4,89.2,16,2404,85.7,85.67,5,6,0.833333333,10,0,6.11,97,144,105,150,284,297,270
16,671790,Ronald Bolanos,16,100,0,0,0,0,0,0.076,0.09,0,5,90.6,2.5,2505,91.1,90.71,7,9,0.777777778,7,-0.4,6.1,118,151,111,151,291,302,264
16,605156,Aaron Brooks,16,100,0,0,0,0,0,0.077,0.094,0,3,61.6,7.3,2200,88.2,87.92,4,8,0.5,6,-0.3,6.12,109,126,93,143,284,292,263
15,434538,Francisco Liriano,15,100,1,0,1,1,0.783,0.43,0.118,1,1,72.1,-15.7,2177,88.4,87.38,1,6,0.166666667,9,-1,5.66,99,138,90,136,270,300,300
15,663531,Logan Allen,15,100,0.25,0,0.25,0.25,0.319,0.289,0.195,1,4,78.9,11.8,2331,92.3,91.92,0,7,0,7,-0.4,6.2,116,150,110,149,295,306,275
15,572140,Tyler Skaggs,15,100,0,0,0,0,0.23,0.252,0.041,0,2,84.8,-7.4,2135,90.1,90.03,1,4,0.25,11,-0.1,6.11,113,149,111,153,280,300,299
15,456051,Hector Noesi,15,100,0.25,0,1,0.25,0.219,0.064,0.065,1,4,69.5,-7.9,2289,91.8,91.66,3,6,0.5,9,-0.1,5.98,114,151,110,146,298,309,273
15,607231,John Gant,15,100,0,0,0,0,0,0.031,0.023,0,3,72,49,2226,91.5,90.83,3,7,0.428571429,8,-0.7,5.83,118,153,115,151,301,298,268
15,542960,Brad Brach,15,100,0.25,0,0.333,0.25,0.219,0.409,0.435,1,4,75.9,-17.3,2335,91.5,91.26,3,8,0.375,7,-0.2,6.01,105,145,112,146,293,304,264
15,448281,Sean Doolittle,15,100,0,0,0,0,0,0.018,0.018,0,3,81.8,-23.3,2338,92.1,91.78,0,2,0,12,-0.3,6.04,102,141,97,144,275,309,297
14,664208,Phil Maton,14,100,0.25,0,0.5,0.25,0.219,0.149,0.163,1,4,74.9,-7.6,2246,89.9,90.14,4,8,0.5,6,0.2,6.35,116,151,115,150,285,305,279
14,433587,Felix Hernandez,14,100,0,0,0,0,0,0.046,0.05,0,3,72.3,-0.2,2246,88.7,89.15,4,9,0.444444444,5,0.5,6.46,126,154,115,151,286,296,271
14,571946,Shelby Miller,14,100,0,0,null,0,0.46,0.46,null,0,1,86.3,55.3,2396,91.2,90.83,1,3,0.333333333,11,-0.4,5.97,122,152,120,148,297,305,274
14,658792,Aaron Wilkerson,14,100,0.333,1,0,1.333,0.664,0.262,0.163,1,3,83.1,16.8,1921,88.6,89.55,0,6,0,8,0.9,6.52,99,146,114,147,284,296,268
14,664854,Ryan Helsley,14,100,0.333,0,1,0.333,0.292,0.019,0.022,1,3,75.1,-29.1,2326,86.8,86.23,3,7,0.428571429,6,-0.6,5.92,103,136,102,138,290,298,273
13,282332,CC Sabathia,13,100,0,0,0,0,0,0.164,0.158,0,3,83.5,-1.1,2133,86.4,85.95,3,7,0.428571429,6,-0.4,5.81,123,165,124,155,285,308,301
13,643275,Johnny Davis,13,100,0.25,0.5,0.5,0.75,0.39,0.23,0.243,1,4,88.1,15.8,2058,87.9,87.83,3,11,0.272727273,2,-0.1,6.27,120,148,107,148,284,318,297
13,621097,Jacob Waguespack,13,100,0,0,null,0,0.23,0.23,null,0,2,70.1,34.6,2351,90.6,90.17,1,3,0.333333333,10,-0.4,5.77,119,159,112,151,283,306,269
13,594986,Kyle Ryan,13,100,0,0,0,0,0.23,0.418,0.286,0,2,78,30.8,2258,94.2,94.43,2,4,0.5,9,0.2,6.17,126,156,109,149,267,295,297
13,501381,Michael Pineda,13,100,0,0,0,0,0,0.11,0.118,0,4,77.3,-1.9,2302,89.6,88.86,2,6,0.333333333,7,-0.7,5.92,110,146,100,149,289,299,261
13,456701,Homer Bailey,13,100,0.4,0,0.5,0.4,0.35,0.32,0.348,2,5,76,-9.7,2141,89.3,89.19,1,8,0.125,4,-0.1,5.99,110,145,105,148,292,316,270
13,656222,Jalen Beeks,13,100,0,0,0,0,0,0.023,0.032,0,3,86.2,-34.6,2035,90.4,90.02,2,5,0.4,8,-0.4,6.14,111,150,111,152,270,302,294
13,519076,Jimmy Nelson,13,100,0,0,null,0,0,0,null,0,3,62.9,45.1,2424,87.4,86.97,4,6,0.666666667,7,-0.4,6.02,116,156,114,150,295,300,273
12,594840,Matt Grace,12,100,0,0,null,0,0,0,null,0,3,70.4,-14.6,2302,89,89.13,5,7,0.714285714,5,0.1,6.25,116,149,116,149,277,298,294
12,607644,John Means,12,100,1,0,1,1,0.783,0.364,0.045,1,1,66.3,-15.5,2448,87.3,87.11,0,4,0,7,-0.2,6.02,89,138,84,143,278,310,294
12,641149,Wes Parsons,12,100,0,0,null,0,0.23,0.23,null,0,2,null,null,2399,91.4,90.94,4,4,1,8,-0.5,5.74,125,150,119,150,303,326,280
12,523260,Joe Kelly,12,100,0,0,null,0,0,0,0,0,2,67.7,-19.7,2245,92.6,93.12,4,7,0.571428571,4,0.5,6.27,102,140,112,143,293,303,271
11,572362,Robbie Erlin,11,100,0,0,0,0,0,0.044,0.052,0,4,75.6,2.2,2273,91,90.39,1,6,0.166666667,5,-0.6,5.79,104,149,112,148,290,308,262
11,605276,David Hess,11,100,0,0,0,0,0,0.157,0.174,0,3,70.8,4.3,2153,93.4,93.23,0,3,0,6,-0.2,5.9,89,135,82,140,289,307,280
11,607391,Chris Mazza,11,100,0,0,0,0,0,0.048,0.058,0,3,74.4,38.1,2227,91.1,90.82,1,4,0.25,6,-0.3,6.01,104,140,103,144,292,297,273
11,450203,Charlie Morton,11,100,0,0,null,0,0,0,null,0,2,66.2,32.2,2237,90.4,87.9,5,9,0.555555556,2,-2.5,4.91,109,149,109,152,299,326,273
11,592779,Brock Stewart,11,100,0.333,0.333,0.333,0.667,0.412,0.287,0.298,1,3,83.7,48.1,1645,67.6,65.63,3,6,0.5,5,-2,4.4,117,146,112,152,279,310,298
11,605498,Andrew Suarez,11,100,0,0,0,0,0,0.145,0.145,0,3,55.1,-4.3,2132,89.3,88.22,1,5,0.2,6,-1.1,5.53,121,151,108,150,274,294,289
11,521655,Wilmer Font,11,100,0.333,0,1,0.333,0.292,0.086,0.097,1,3,65,-11.2,2266,86.9,86.41,2,6,0.333333333,3,-0.5,6.03,104,146,97,150,288,302,277
10,594987,Casey Sadler,10,100,0,0,0,0,0,0.122,0.127,0,3,84.2,10.9,2181,85.5,84.87,0,3,0,7,-0.6,5.62,119,149,112,144,292,308,279
10,606149,Giovanny Gallegos,10,100,0,0,0,0,0,0.074,0.083,0,2,51.9,16.5,2280,91.7,91.55,1,5,0.2,3,-0.2,6.08,100,141,99,147,292,300,272
10,543351,Jay Jackson,10,100,0,0,null,0,0,0,null,0,2,94.6,7.3,2360,92.3,92.83,2,4,0.5,6,0.5,6.46,115,153,114,148,302,304,274
10,543606,Jake Odorizzi,10,100,0,0,0,0,0,0.516,0.54,0,2,72.7,7.1,2296,92.8,92.63,0,4,0,5,-0.2,6.34,104,137,93,146,293,298,266
10,543883,Nick Vincent,10,100,0,0,null,0,0,0,null,0,3,null,null,2253,90.2,90.54,2,3,0.666666667,7,0.3,6.28,114,148,118,146,271,286,264
10,543548,Tommy Milone,10,100,0,0,0,0,0,0.062,0.047,0,2,86.2,14.9,2403,90,89.88,3,5,0.6,5,-0.1,6.07,113,150,121,151,294,295,284
10,570240,Felix Pena,10,100,0,0,0,0,0,0.066,0.068,0,2,76.3,-16.7,2330,89,88.99,2,4,0.5,6,0,6.06,119,152,110,150,285,297,270
10,504379,Juan Nicasio,10,100,0,0,0,0,0,0.133,0.145,0,2,84.7,-8.8,2207,89.8,89.33,1,5,0.2,5,-0.5,5.86,117,149,113,143,287,308,286
10,543193,Drew Gagnon,10,100,0.333,0,0.333,0.333,0.292,0.447,0.462,1,3,79.6,6.7,2285,91.7,91.81,0,7,0,3,0.1,6.45,94,142,94,147,289,302,269
10,458681,Lance Lynn,10,100,0,0,null,0,0,0,null,0,2,43.3,-19.8,2250,88.1,88.23,2,3,0.666666667,7,0.1,6.23,122,150,121,152,289,300,267
10,457915,Javy Guerra,10,100,0,0,0,0,0,0.12,0.123,0,3,64.3,-22.8,2283,92.6,93.01,0,4,0,3,0.4,6.35,100,138,95,143,286,299,261
10,502239,Trevor Cahill,10,100,0.333,0,0.5,0.333,0.292,0.277,0.232,1,3,76.8,22.9,2325,88.8,88.64,1,6,0.166666667,4,-0.2,6.07,106,151,109,148,293,320,274
10,592229,Dylan Covey,10,100,0,0,0,0,0,0.025,0.028,0,2,85.1,-32.9,2142,88.3,88.13,1,3,0.333333333,7,-0.2,5.95,129,150,114,152,297,296,279
9,642073,Jimmie Sherfy,9,100,0,0,null,0,0,0,null,0,2,72.1,30.5,2289,87.1,85.71,2,5,0.4,3,-1.4,5.54,95,137,97,141,295,304,265
9,527048,Martin Perez,9,100,0,0,0,0,0,0.045,0.047,0,3,51.6,19.2,2168,88.3,87.31,3,6,0.5,2,-1,5.64,106,146,95,150,274,289,278
9,543135,Nathan Eovaldi,9,100,0,0,0,0,0,0.061,0.066,0,2,42.6,20.9,2468,93.5,92.77,0,1,0,6,-0.7,5.74,76,130,75,138,253,287,263
9,642701,Dennis Santana,9,100,0.5,0,0.5,0.5,0.438,0.423,0.478,1,2,82.9,-5.1,2391,88.9,87.62,1,5,0.2,4,-1.3,5.22,112,153,114,150,297,312,289
9,657571,Caleb Ferguson,9,100,0.5,0.5,0.5,1,0.618,0.154,0.156,1,2,75.7,-34.6,2001,80.7,79.28,0,5,0,4,-1.4,5.44,115,152,122,150,277,300,277
9,446321,Ross Detwiler,9,100,0,0,0,0,0,0.098,0.114,0,2,98,-13.7,2291,91.5,92,1,2,0.5,7,0.5,6.76,119,155,118,151,296,306,259
9,543001,Ryan Carpenter,9,100,0,0,0,0,0,0.015,0.021,0,2,81,-26,2381,82.2,81.15,1,3,0.333333333,6,-1,5.84,121,147,110,145,277,301,292
9,605164,Dylan Bundy,9,100,0,0,null,0,0,0,null,0,2,null,null,2233,90.7,89.84,3,4,0.75,5,-0.9,5.73,118,153,114,153,283,312,286
9,448855,Junior Guerra,9,100,0.333,0,1,0.333,0.292,0.035,0.045,1,3,75,6.1,2109,90.8,90.49,3,4,0.75,5,-0.3,5.87,122,151,112,147,286,301,264
9,605520,Mitch Walding,9,100,0,0,null,0,0,0,null,0,2,null,null,2359,90.6,90.82,5,6,0.833333333,3,0.2,6.23,108,147,130,149,301,332,307
9,621261,Corey Oswalt,9,100,0,0,0,0,0,0.041,0,0,1,71.7,23.8,2113,90.9,89.98,1,7,0.142857143,2,-0.9,5.58,100,147,103,149,297,319,274
8,607219,Sal Romano,8,100,0,0,0,0,0,0.076,0.061,0,2,62.5,-53.8,2034,83.3,83.36,3,4,0.75,4,0.1,6.17,125,145,127,146,271,317,279
8,519455,Jordan Zimmermann,8,100,0,0,null,0,0,0,null,0,2,48.8,54.3,2229,90.7,91.67,2,3,0.666666667,5,1,6.49,124,151,130,152,295,321,267
8,571917,Parker Markel,8,100,0,0,0,0,0,0.055,0.058,0,3,77,-44.8,2164,89.7,89.14,3,5,0.6,3,-0.6,5.91,113,149,127,135,296,302,267
8,663776,Patrick Sandoval,8,100,0,0,null,0,0,0,null,0,2,null,null,2045,91.4,89.51,2,2,1,6,-1.9,5.21,130,147,122,146,246,294,279
8,613534,Austin Adams,8,100,0,0,null,0,0,0,null,0,1,null,null,2428,92.5,93.06,1,4,0.25,4,0.6,6.5,122,169,116,157,293,306,264
8,596043,Daniel Mengden,8,100,0,0,null,0,0,0,null,0,2,null,null,2573,82.4,82.24,5,5,1,3,-0.2,6.28,123,150,117,150,290,305,284
8,518553,Steve Cishek,8,100,0,0,0,0,0,0.125,0.154,0,2,69.8,9.6,2250,93.2,93.07,1,3,0.333333333,5,-0.1,6.18,98,151,105,149,302,310,279
